Cycle     | A| B| C| D| E| F| G| H|IN|OT|CNZ| SP | PC |
0000000459|73  1  0  0  0  0  0  0| 0 73|000|0000 0006|
0000000462|74  1  0  0  0  0  0  0| 0 73|000|0000 0005|
0000000463|74  1  0  0  0  0  0  0| 0 74|000|0000 0006|
0000000466|75  1  0  0  0  0  0  0| 0 74|000|0000 0005|
0000000467|75  1  0  0  0  0  0  0| 0 75|000|0000 0006|
0000000470|76  1  0  0  0  0  0  0| 0 75|000|0000 0005|
0000000471|76  1  0  0  0  0  0  0| 0 76|000|0000 0006|
0000000474|77  1  0  0  0  0  0  0| 0 76|000|0000 0005|
0000000475|77  1  0  0  0  0  0  0| 0 77|000|0000 0006|
0000000478|78  1  0  0  0  0  0  0| 0 77|000|0000 0005|
0000000479|78  1  0  0  0  0  0  0| 0 78|000|0000 0006|
0000000482|79  1  0  0  0  0  0  0| 0 78|000|0000 0005|
0000000483|79  1  0  0  0  0  0  0| 0 79|000|0000 0006|
0000000486|7a  1  0  0  0  0  0  0| 0 79|000|0000 0005|
0000000487|7a  1  0  0  0  0  0  0| 0 7a|000|0000 0006|
0000000490|7b  1  0  0  0  0  0  0| 0 7a|000|0000 0005|
0000000491|7b  1  0  0  0  0  0  0| 0 7b|000|0000 0006|
0000000494|7c  1  0  0  0  0  0  0| 0 7b|000|0000 0005|
0000000495|7c  1  0  0  0  0  0  0| 0 7c|000|0000 0006|
0000000498|7d  1  0  0  0  0  0  0| 0 7c|000|0000 0005|
0000000499|7d  1  0  0  0  0  0  0| 0 7d|000|0000 0006|
0000000502|7e  1  0  0  0  0  0  0| 0 7d|000|0000 0005|
0000000503|7e  1  0  0  0  0  0  0| 0 7e|000|0000 0006|
0000000506|7f  1  0  0  0  0  0  0| 0 7e|000|0000 0005|
0000000507|7f  1  0  0  0  0  0  0| 0 7f|000|0000 0006|
0000000510|80  1  0  0  0  0  0  0| 0 7f|010|0000 0005|
0000000511|80  1  0  0  0  0  0  0| 0 80|010|0000 0006|
0000000514|81  1  0  0  0  0  0  0| 0 80|010|0000 0005|
0000000515|81  1  0  0  0  0  0  0| 0 81|010|0000 0006|
0000000518|82  1  0  0  0  0  0  0| 0 81|010|0000 0005|
0000000519|82  1  0  0  0  0  0  0| 0 82|010|0000 0006|
0000000522|83  1  0  0  0  0  0  0| 0 82|010|0000 0005|
0000000523|83  1  0  0  0  0  0  0| 0 83|010|0000 0006|
0000000526|84  1  0  0  0  0  0  0| 0 83|010|0000 0005|
0000000527|84  1  0  0  0  0  0  0| 0 84|010|0000 0006|
0000000530|85  1  0  0  0  0  0  0| 0 84|010|0000 0005|
0000000531|85  1  0  0  0  0  0  0| 0 85|010|0000 0006|
0000000534|86  1  0  0  0  0  0  0| 0 85|010|0000 0005|
0000000535|86  1  0  0  0  0  0  0| 0 86|010|0000 0006|
0000000538|87  1  0  0  0  0  0  0| 0 86|010|0000 0005|
0000000539|87  1  0  0  0  0  0  0| 0 87|010|0000 0006|
0000000542|88  1  0  0  0  0  0  0| 0 87|010|0000 0005|
0000000543|88  1  0  0  0  0  0  0| 0 88|010|0000 0006|
0000000546|89  1  0  0  0  0  0  0| 0 88|010|0000 0005|
0000000547|89  1  0  0  0  0  0  0| 0 89|010|0000 0006|
0000000550|8a  1  0  0  0  0  0  0| 0 89|010|0000 0005|
0000000551|8a  1  0  0  0  0  0  0| 0 8a|010|0000 0006|
0000000554|8b  1  0  0  0  0  0  0| 0 8a|010|0000 0005|
0000000555|8b  1  0  0  0  0  0  0| 0 8b|010|0000 0006|
0000000558|8c  1  0  0  0  0  0  0| 0 8b|010|0000 0005|
0000000559|8c  1  0  0  0  0  0  0| 0 8c|010|0000 0006|
0000000562|8d  1  0  0  0  0  0  0| 0 8c|010|0000 0005|
0000000563|8d  1  0  0  0  0  0  0| 0 8d|010|0000 0006|
0000000566|8e  1  0  0  0  0  0  0| 0 8d|010|0000 0005|
0000000567|8e  1  0  0  0  0  0  0| 0 8e|010|0000 0006|
0000000570|8f  1  0  0  0  0  0  0| 0 8e|010|0000 0005|
0000000571|8f  1  0  0  0  0  0  0| 0 8f|010|0000 0006|
0000000574|90  1  0  0  0  0  0  0| 0 8f|010|0000 0005|
0000000575|90  1  0  0  0  0  0  0| 0 90|010|0000 0006|
0000000578|91  1  0  0  0  0  0  0| 0 90|010|0000 0005|
0000000579|91  1  0  0  0  0  0  0| 0 91|010|0000 0006|
0000000582|92  1  0  0  0  0  0  0| 0 91|010|0000 0005|
0000000583|92  1  0  0  0  0  0  0| 0 92|010|0000 0006|
0000000586|93  1  0  0  0  0  0  0| 0 92|010|0000 0005|
0000000587|93  1  0  0  0  0  0  0| 0 93|010|0000 0006|
0000000590|94  1  0  0  0  0  0  0| 0 93|010|0000 0005|
0000000591|94  1  0  0  0  0  0  0| 0 94|010|0000 0006|
